
[ 03:05:28.0152 ] Info:  	Logs before init (time doesn't match):

[ 03:05:28.0152 ] Info:  	Continue


[ 03:05:28.0152 ] Debug:  	main


[ 03:05:28.0152 ] Info:  	Program start

[ 03:05:28.0152 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 03:05:28.0153 ] Info:  	rgset is get, checking for suitable

[ 03:05:28.0153 ] Info:  	It is suitable, compile...

[ 03:05:28.0153 ] Info:  	Compile start

[ 03:05:28.0153 ] Info:  	Path to project: ''

[ 03:05:28.0157 ] Info:  	Compile 64bit


[ 03:05:31.0500 ] Critical Error:  	Error: 1

