[ 12:27:56.0425 ] Info:  	Rinegine program start


[ 12:27:56.0425 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:27:56.0425 ] Info:  	Rinegine init


[ 12:27:56.0425 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:27:56.0425 ] Info:  	Rinegine initialized

[ 12:27:56.0425 ] Info:  	Program start

[ 12:27:56.0425 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:27:56.0447 ] Info:  	test.rgset is get, checking for suitable

[ 12:27:56.0457 ] Info:  	It is suitable, compile...

[ 12:27:56.0468 ] Info:  	Compile start

[ 12:27:56.0474 ] Info:  	Path to project: ''


[ 12:27:56.0483 ] Debug:  	File config:
name = test
bit = 32
run = 32
source = source.cpp
consolÿ

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:27:56.0501 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:27:56.0501 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:27:56.0501 ] Debug:  	Memory has been cleared: '686' bytes

