
[ 03:17:54.0898 ] Info:  	Logs before init (time doesn't match):

[ 03:17:54.0898 ] Info:  	Continue


[ 03:17:54.0898 ] Debug:  	main


[ 03:17:54.0898 ] Info:  	Program start

[ 03:17:54.0898 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 03:17:54.0898 ] Info:  	rgset is get, checking for suitable

[ 03:17:54.0899 ] Info:  	It is suitable, compile...

[ 03:17:54.0899 ] Info:  	Compile start

[ 03:17:54.0899 ] Info:  	Path to project: ''

[ 03:17:54.0909 ] Info:  	Compile 64bit


[ 03:17:57.0565 ] Critical Error:  	Error: 1

