
[ 04:09:49.0559 ] Info:  	Logs before init (time doesn't match):

[ 04:09:49.0559 ] Info:  	Continue


[ 04:09:49.0559 ] Debug:  	main


[ 04:09:49.0559 ] Info:  	Program start

[ 04:09:49.0559 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:09:49.0559 ] Info:  	rgset is get, checking for suitable

[ 04:09:49.0560 ] Info:  	It is suitable, compile...

[ 04:09:49.0560 ] Info:  	Compile start

[ 04:09:49.0560 ] Info:  	Path to project: ''

[ 04:09:49.0565 ] Info:  	Compile 64bit


[ 04:09:53.0056 ] Critical Error:  	Error: 1

