[ 18:56:42.0247 ] Info:  	Rinegine program start


[ 18:56:42.0247 ] Info:  	Rinegine init

[ 18:56:42.0247 ] Info:  	Program start

[ 18:56:42.0247 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:56:42.0251 ] Info:  	rgset is get, checking for suitable

[ 18:56:42.0254 ] Info:  	It is suitable, compile...

[ 18:56:42.0255 ] Info:  	Compile start

[ 18:56:42.0257 ] Info:  	Path to project: ''


[ 18:56:42.0304 ] Warning:  	The links were not cleared by the 'clear;' function which can lead to the library not being built correctly! If you cleaned manually or you know what you're doing, you can ignore this warning.


[ 18:56:42.0311 ] Info:  	Compile 64bit lib


[ 18:56:45.0676 ] Critical Error:  	Error: 1

