[ 18:46:09.0458 ] Info:  	Rinegine program start


[ 18:46:09.0458 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 18:46:09.0458 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 18:46:09.0458 ] Info:  	Rinegine init

[ 18:46:09.0458 ] Info:  	Rinegine initialized

[ 18:46:09.0458 ] Info:  	Program start

[ 18:46:09.0458 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:46:09.0480 ] Info:  	rgset is get, checking for suitable

[ 18:46:09.0490 ] Info:  	It is suitable, compile...

[ 18:46:09.0499 ] Info:  	Compile start

[ 18:46:09.0506 ] Info:  	Path to project: ''


[ 18:46:09.0516 ] Debug:  	File config:
name=test
source=main.cpp
bit=64
run=64
utf
consolÿ

[ 18:46:09.0532 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0532 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:46:09.0533 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

