
[ 01:15:56.0334 ] Info:  	Logs before init (time doesn't match):

[ 01:15:56.0334 ] Info:  	Continue


[ 01:15:56.0334 ] Debug:  	main


[ 01:15:56.0334 ] Info:  	Program start

[ 01:15:56.0334 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 01:15:56.0335 ] Info:  	rgset is get, checking for suitable

[ 01:15:56.0335 ] Info:  	It is suitable, compile...

[ 01:15:56.0335 ] Info:  	Compile start

[ 01:15:56.0335 ] Info:  	Path to project: ''

[ 01:15:56.0339 ] Info:  	Compile 64bit


[ 01:16:00.0164 ] Critical Error:  	Error: 1

