[ 08:53:46.0014 ] Info:  	Rinegine program start


[ 08:53:46.0014 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 08:53:46.0014 ] Info:  	Rinegine init


[ 08:53:46.0014 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 08:53:46.0014 ] Info:  	Rinegine initialized

[ 08:53:46.0014 ] Info:  	Program start

[ 08:53:46.0014 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 08:53:46.0036 ] Info:  	rgset is get, checking for suitable

[ 08:53:46.0046 ] Info:  	It is suitable, compile...

[ 08:53:46.0057 ] Info:  	Compile start

[ 08:53:46.0063 ] Info:  	Path to project: ''


[ 08:53:46.0072 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = true
name=testÿ

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

[ 08:53:46.0090 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 08:53:46.0090 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '286' bytes

[ 08:53:46.0090 ] Debug:  	Memory has been cleared: '686' bytes

