[ 22:35:31.0752 ] Info:  	Rinegine program start


[ 22:35:31.0752 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'

[ 22:35:31.0752 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'


[ 22:35:31.0752 ] Info:  	Rinegine init

[ 22:35:31.0752 ] Info:  	Rinegine initialized

[ 22:35:31.0752 ] Info:  	Program start

[ 22:35:31.0752 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd32.exe

[ 22:35:31.0756 ] Info:  	rgset is get, checking for suitable

[ 22:35:31.0758 ] Info:  	It is suitable, compile...

[ 22:35:31.0760 ] Info:  	Compile start

[ 22:35:31.0762 ] Info:  	Path to project: ''


[ 22:35:31.0763 ] Debug:  	File config:
name = work
source = main.cpp
bit = 64
run = 64
consol
debug
utfÿ

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:35:31.0767 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

