[ 21:46:33.0421 ] Info:  	Rinegine program start


[ 21:46:33.0421 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'

[ 21:46:33.0421 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'


[ 21:46:33.0421 ] Info:  	Rinegine init

[ 21:46:33.0421 ] Info:  	Rinegine initialized

[ 21:46:33.0421 ] Info:  	Program start

[ 21:46:33.0421 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd32.exe

[ 21:46:33.0425 ] Info:  	rgset is get, checking for suitable

[ 21:46:33.0428 ] Info:  	It is suitable, compile...

[ 21:46:33.0430 ] Info:  	Compile start

[ 21:46:33.0431 ] Info:  	Path to project: ''


[ 21:46:33.0434 ] Debug:  	File config:
name=copy
bit = 64
run=64
consol
debug
utf
source=main.cppÿ

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:46:33.0437 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

