
[ 17:24:38.0341 ] Info:  	Logs before init (time doesn't match):

[ 17:24:38.0341 ] Info:  	Continue


[ 17:24:38.0341 ] Debug:  	main


[ 17:24:38.0341 ] Info:  	Program start

[ 17:24:38.0341 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 17:24:38.0342 ] Info:  	rgset is get, checking for suitable

[ 17:24:38.0342 ] Info:  	It is suitable, compile...

[ 17:24:38.0342 ] Info:  	Compile start

[ 17:24:38.0342 ] Info:  	Path to project: ''

[ 17:24:38.0348 ] Info:  	Compile 32bit


[ 17:24:43.0379 ] Critical Error:  	Error: 1

