[ 22:36:40.0540 ] Info:  	Rinegine program start


[ 22:36:40.0540 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'

[ 22:36:40.0540 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'


[ 22:36:40.0540 ] Info:  	Rinegine init

[ 22:36:40.0540 ] Info:  	Rinegine initialized

[ 22:36:40.0540 ] Info:  	Program start

[ 22:36:40.0540 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd32.exe

[ 22:36:40.0544 ] Info:  	rgset is get, checking for suitable

[ 22:36:40.0547 ] Info:  	It is suitable, compile...

[ 22:36:40.0548 ] Info:  	Compile start

[ 22:36:40.0550 ] Info:  	Path to project: ''


[ 22:36:40.0551 ] Debug:  	File config:
name=copy
bit = 64
run=64
consol
debug
utf
source=main.cppÿ

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:36:40.0556 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

