
[ 02:50:16.0835 ] Info:  	Logs before init (time doesn't match):

[ 02:50:16.0835 ] Info:  	Continue


[ 02:50:16.0835 ] Debug:  	main


[ 02:50:16.0835 ] Info:  	Program start

[ 02:50:16.0835 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 02:50:16.0836 ] Info:  	rgset is get, checking for suitable

[ 02:50:16.0836 ] Info:  	It is suitable, compile...

[ 02:50:16.0836 ] Info:  	Compile start

[ 02:50:16.0836 ] Info:  	Path to project: ''

[ 02:50:16.0840 ] Info:  	Compile 64bit


[ 02:50:20.0183 ] Critical Error:  	Error: 1

