[ 20:09:28.0699 ] Info:  	Rinegine program start


[ 20:09:28.0699 ] Info:  	Rinegine init

[ 20:09:28.0699 ] Info:  	Program start

[ 20:09:28.0699 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 20:09:28.0708 ] Info:  	rgset is get, checking for suitable

[ 20:09:28.0712 ] Info:  	It is suitable, compile...

[ 20:09:28.0716 ] Info:  	Compile start

[ 20:09:28.0720 ] Info:  	Path to project: ''


[ 20:09:28.0750 ] Info:  	Compile 64bit


[ 20:09:33.0214 ] Critical Error:  	Error: 1

