[ 12:29:06.0878 ] Info:  	Rinegine program start


[ 12:29:06.0878 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'

[ 12:29:06.0878 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'


[ 12:29:06.0878 ] Info:  	Rinegine init

[ 12:29:06.0878 ] Info:  	Rinegine initialized

[ 12:29:06.0878 ] Info:  	Program start

[ 12:29:06.0878 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd32.exe

[ 12:29:06.0887 ] Info:  	rgset is get, checking for suitable

[ 12:29:06.0889 ] Info:  	It is suitable, compile...

[ 12:29:06.0891 ] Info:  	Compile start

[ 12:29:06.0891 ] Info:  	Path to project: ''


[ 12:29:06.0893 ] Debug:  	File config:
name = work
source = main.cpp
bit = 64
run = 64
consol
debug
utfÿ

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 12:29:06.0893 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

