[ 17:55:51.0318 ] Info:  	Rinegine program start


[ 17:55:51.0318 ] Info:  	Rinegine init

[ 17:55:51.0318 ] Info:  	Program start

[ 17:55:51.0318 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 17:55:51.0349 ] Info:  	rgset is get, checking for suitable

[ 17:55:51.0352 ] Info:  	It is suitable, compile...

[ 17:55:51.0356 ] Info:  	Compile start

[ 17:55:51.0359 ] Info:  	Path to project: ''


[ 17:55:51.0398 ] Info:  	Compile 64bit


[ 17:56:01.0059 ] Critical Error:  	Error: 1

