[ 21:13:40.0366 ] Info:  	Rinegine program start


[ 21:13:40.0366 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'

[ 21:13:40.0366 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 21:13:40.0366 ] Info:  	Rinegine init

[ 21:13:40.0366 ] Info:  	Rinegine initialized

[ 21:13:40.0366 ] Info:  	Program start


[ 21:13:40.0366 ] Debug:  	2 arg: -ftest

[ 21:13:40.0373 ] Debug:  	2 warg: -ftest

[ 21:13:40.0380 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe


[ 21:13:40.0404 ] Debug:  	Path to config: testand size: 4


[ 21:13:40.0415 ] Info:  	test.rgset is get, checking for suitable

[ 21:13:40.0428 ] Info:  	It is suitable, compile...

[ 21:13:40.0439 ] Info:  	Compile start

[ 21:13:40.0447 ] Info:  	Path to project: ''


[ 21:13:40.0455 ] Debug:  	File config:
name = test
bit = 64
run = 64
source = source.cpp
consolÿ

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:13:40.0474 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

