[ 13:46:40.0808 ] Info:  	Rinegine program start


[ 13:46:40.0808 ] Info:  	Rinegine init

[ 13:46:40.0808 ] Info:  	Program start

[ 13:46:40.0808 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 13:46:40.0815 ] Info:  	rgset is get, checking for suitable

[ 13:46:40.0821 ] Info:  	It is suitable, compile...

[ 13:46:40.0828 ] Info:  	Compile start

[ 13:46:40.0830 ] Info:  	Path to project: ''


[ 13:46:40.0838 ] Info:  	Compile 32bit


[ 13:46:41.0164 ] Critical Error:  	Error: 1

