
[ 00:30:25.0160 ] Info:  	Logs before init (time doesn't match):

[ 00:30:25.0161 ] Info:  	Continue


[ 00:30:25.0161 ] Debug:  	main


[ 00:30:25.0161 ] Info:  	Program start

[ 00:30:25.0161 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 00:30:25.0161 ] Info:  	rgset is get, checking for suitable

[ 00:30:25.0162 ] Info:  	It is suitable, compile...

[ 00:30:25.0162 ] Info:  	Compile start

[ 00:30:25.0162 ] Info:  	Path to project: ''

[ 00:30:25.0168 ] Info:  	Compile 64bit


[ 00:30:29.0970 ] Critical Error:  	Error: 1

