
[ 01:14:58.0852 ] Info:  	Logs before init (time doesn't match):

[ 01:14:58.0852 ] Info:  	Continue


[ 01:14:58.0852 ] Debug:  	main


[ 01:14:58.0852 ] Info:  	Program start

[ 01:14:58.0852 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 01:14:58.0860 ] Info:  	rgset is get, checking for suitable

[ 01:14:58.0860 ] Info:  	It is suitable, compile...

[ 01:14:58.0860 ] Info:  	Compile start

[ 01:14:58.0860 ] Info:  	Path to project: ''

[ 01:14:58.0864 ] Info:  	Compile 64bit


[ 01:15:02.0628 ] Critical Error:  	Error: 1

