
[ 01:03:29.0007 ] Info:  	Logs before init (time doesn't match):

[ 01:03:29.0007 ] Info:  	Continue


[ 01:03:29.0007 ] Debug:  	main


[ 01:03:29.0007 ] Info:  	Program start

[ 01:03:29.0007 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 01:03:29.0007 ] Info:  	rgset is get, checking for suitable

[ 01:03:29.0008 ] Info:  	It is suitable, compile...

[ 01:03:29.0008 ] Info:  	Compile start

[ 01:03:29.0008 ] Info:  	Path to project: ''

[ 01:03:29.0015 ] Info:  	Compile 64bit


[ 01:03:36.0548 ] Critical Error:  	Error: 1

