[ 00:29:04.0443 ] Info:  	Rinegine program start


[ 00:29:04.0443 ] Info:  	Rinegine init

[ 00:29:04.0443 ] Info:  	Program start

[ 00:29:04.0443 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 00:29:04.0447 ] Info:  	rgset is get, checking for suitable

[ 00:29:04.0450 ] Info:  	It is suitable, compile...

[ 00:29:04.0452 ] Info:  	Compile start

[ 00:29:04.0453 ] Info:  	Path to project: ''


[ 00:29:04.0470 ] Info:  	Compile 64bit


[ 00:29:10.0826 ] Critical Error:  	Error: 1

