[ 18:12:54.0736 ] Info:  	Rinegine program start


[ 18:12:54.0736 ] Info:  	Rinegine init

[ 18:12:54.0736 ] Info:  	Program start

[ 18:12:54.0736 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:12:54.0781 ] Info:  	rgset is get, checking for suitable

[ 18:12:54.0797 ] Info:  	It is suitable, compile...

[ 18:12:54.0826 ] Info:  	Compile start

[ 18:12:54.0833 ] Info:  	Path to project: ''


[ 18:12:54.0912 ] Info:  	Compile 64bit


[ 18:13:01.0373 ] Critical Error:  	Error: 1

