
[ 04:11:19.0737 ] Info:  	Logs before init (time doesn't match):

[ 04:11:19.0737 ] Info:  	Continue


[ 04:11:19.0737 ] Debug:  	main


[ 04:11:19.0737 ] Info:  	Program start

[ 04:11:19.0737 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:11:19.0738 ] Info:  	rgset is get, checking for suitable

[ 04:11:19.0738 ] Info:  	It is suitable, compile...

[ 04:11:19.0738 ] Info:  	Compile start

[ 04:11:19.0738 ] Info:  	Path to project: ''

[ 04:11:19.0742 ] Info:  	Compile 64bit


[ 04:11:22.0211 ] Critical Error:  	Error: 1

