[ 23:35:54.0534 ] Info:  	Rinegine program start


[ 23:35:54.0534 ] Info:  	Rinegine init

[ 23:35:54.0534 ] Info:  	Program start

[ 23:35:54.0534 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 23:35:54.0548 ] Info:  	rgset is get, checking for suitable

[ 23:35:54.0554 ] Info:  	It is suitable, compile...

[ 23:35:54.0560 ] Info:  	Compile start

[ 23:35:54.0563 ] Info:  	Path to project: ''


[ 23:35:54.0599 ] Info:  	Compile 64bit


[ 23:35:58.0242 ] Critical Error:  	Error: 1

