
[ 11:09:37.0540 ] Info:  	Logs before init (time doesn't match):

[ 11:09:37.0540 ] Info:  	Continue


[ 11:09:37.0540 ] Debug:  	main


[ 11:09:37.0540 ] Info:  	Program start

[ 11:09:37.0540 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 11:09:37.0540 ] Info:  	rgset is get, checking for suitable

[ 11:09:37.0540 ] Info:  	It is suitable, compile...

[ 11:09:37.0541 ] Info:  	Compile start

[ 11:09:37.0541 ] Info:  	Path to project: ''

[ 11:09:37.0546 ] Info:  	Compile 64bit


[ 11:09:44.0321 ] Critical Error:  	Error: 1

