[ 06:40:16.0546 ] Info:  	Rinegine program start


[ 06:40:16.0546 ] Info:  	Rinegine init

[ 06:40:16.0546 ] Info:  	Program start

[ 06:40:16.0547 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 06:40:16.0553 ] Info:  	rgset is get, checking for suitable

[ 06:40:16.0557 ] Info:  	It is suitable, compile...

[ 06:40:16.0559 ] Info:  	Compile start

[ 06:40:16.0560 ] Info:  	Path to project: ''


[ 06:40:16.0583 ] Info:  	Compile 64bit


[ 06:40:19.0875 ] Critical Error:  	Error: 1

