
[ 02:50:57.0257 ] Info:  	Logs before init (time doesn't match):

[ 02:50:57.0257 ] Info:  	Continue


[ 02:50:57.0257 ] Debug:  	main


[ 02:50:57.0257 ] Info:  	Program start

[ 02:50:57.0257 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 02:50:57.0259 ] Info:  	rgset is get, checking for suitable

[ 02:50:57.0259 ] Info:  	It is suitable, compile...

[ 02:50:57.0259 ] Info:  	Compile start

[ 02:50:57.0259 ] Info:  	Path to project: ''

[ 02:50:57.0265 ] Info:  	Compile 64bit


[ 02:51:00.0950 ] Critical Error:  	Error: 1

