[ 12:48:09.0126 ] Info:  	Rinegine program start


[ 12:48:09.0127 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:48:09.0127 ] Info:  	Rinegine init


[ 12:48:09.0127 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:48:09.0127 ] Info:  	Rinegine initialized

[ 12:48:09.0127 ] Info:  	Program start

[ 12:48:09.0127 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:48:09.0149 ] Info:  	test.rgset is get, checking for suitable

[ 12:48:09.0160 ] Info:  	It is suitable, compile...

[ 12:48:09.0170 ] Info:  	Compile start

[ 12:48:09.0177 ] Info:  	Path to project: ''


[ 12:48:09.0186 ] Debug:  	File config:
name = test
bit = 64
run = 64
source = source.cpp
consolÿ

[ 12:48:09.0202 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0202 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0202 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0202 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:48:09.0202 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0202 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:48:09.0203 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0203 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:48:09.0203 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0203 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:48:09.0203 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0203 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:48:09.0203 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0203 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:48:09.0203 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:48:09.0203 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:48:09.0203 ] Debug:  	Memory has been cleared: '686' bytes

