
[ 23:03:05.0302 ] Info:  	Logs before init (time doesn't match):

[ 23:03:05.0302 ] Info:  	Continue


[ 23:03:05.0302 ] Debug:  	main


[ 23:03:05.0302 ] Info:  	Program start

[ 23:03:05.0302 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 23:03:05.0302 ] Info:  	rgset is get, checking for suitable

[ 23:03:05.0302 ] Info:  	It is suitable, compile...

[ 23:03:05.0302 ] Info:  	Compile start

[ 23:03:05.0302 ] Info:  	Path to project: ''

[ 23:03:05.0307 ] Info:  	Compile 64bit


[ 23:03:09.0035 ] Critical Error:  	Error: 1

