
[ 01:14:58.0575 ] Info:  	Logs before init (time doesn't match):

[ 01:14:58.0576 ] Info:  	Continue


[ 01:14:58.0576 ] Debug:  	main


[ 01:14:58.0576 ] Info:  	Program start

[ 01:14:58.0576 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 01:14:58.0576 ] Info:  	rgset is get, checking for suitable

[ 01:14:58.0577 ] Info:  	It is suitable, compile...

[ 01:14:58.0577 ] Info:  	Compile start

[ 01:14:58.0577 ] Info:  	Path to project: ''

[ 01:14:58.0604 ] Info:  	Compile 64bit


[ 01:15:02.0845 ] Critical Error:  	Error: 1

