
[ 04:10:52.0118 ] Info:  	Logs before init (time doesn't match):

[ 04:10:52.0118 ] Info:  	Continue


[ 04:10:52.0118 ] Debug:  	main


[ 04:10:52.0118 ] Info:  	Program start

[ 04:10:52.0120 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:10:52.0120 ] Info:  	rgset is get, checking for suitable

[ 04:10:52.0120 ] Info:  	It is suitable, compile...

[ 04:10:52.0120 ] Info:  	Compile start

[ 04:10:52.0120 ] Info:  	Path to project: ''

[ 04:10:52.0125 ] Info:  	Compile 64bit


[ 04:10:54.0540 ] Critical Error:  	Error: 1

