
[ 18:48:02.0731 ] Info:  	Logs before init (time doesn't match):

[ 18:48:02.0731 ] Info:  	Continue


[ 18:48:02.0732 ] Debug:  	main


[ 18:48:02.0732 ] Info:  	Program start

[ 18:48:02.0732 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:48:02.0732 ] Info:  	rgset is get, checking for suitable

[ 18:48:02.0732 ] Info:  	It is suitable, compile...

[ 18:48:02.0732 ] Info:  	Compile start

[ 18:48:02.0732 ] Info:  	Path to project: ''

[ 18:48:02.0737 ] Info:  	Compile 64bit


[ 18:48:05.0942 ] Critical Error:  	Error: 1

