
[ 02:49:57.0088 ] Info:  	Logs before init (time doesn't match):

[ 02:49:57.0088 ] Info:  	Continue


[ 02:49:57.0088 ] Debug:  	main


[ 02:49:57.0088 ] Info:  	Program start

[ 02:49:57.0088 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 02:49:57.0089 ] Info:  	rgset is get, checking for suitable

[ 02:49:57.0089 ] Info:  	It is suitable, compile...

[ 02:49:57.0089 ] Info:  	Compile start

[ 02:49:57.0089 ] Info:  	Path to project: ''

[ 02:49:57.0093 ] Info:  	Compile 64bit


[ 02:50:00.0861 ] Critical Error:  	Error: 1

