[ 18:52:00.0938 ] Info:  	Rinegine program start


[ 18:52:00.0938 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 18:52:00.0938 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 18:52:00.0938 ] Info:  	Rinegine init

[ 18:52:00.0938 ] Info:  	Rinegine initialized

[ 18:52:00.0938 ] Info:  	Program start

[ 18:52:00.0938 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:52:00.0962 ] Info:  	rgset is get, checking for suitable

[ 18:52:00.0973 ] Info:  	It is suitable, compile...

[ 18:52:00.0983 ] Info:  	Compile start

[ 18:52:00.0991 ] Info:  	Path to project: ''


[ 18:52:01.0000 ] Debug:  	File config:
name=test
source=main.cpp
bit=64
run=64
utf
consolÿ

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:52:01.0019 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

