
[ 02:51:20.0564 ] Info:  	Logs before init (time doesn't match):

[ 02:51:20.0565 ] Info:  	Continue


[ 02:51:20.0565 ] Debug:  	main


[ 02:51:20.0565 ] Info:  	Program start

[ 02:51:20.0565 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 02:51:20.0565 ] Info:  	rgset is get, checking for suitable

[ 02:51:20.0565 ] Info:  	It is suitable, compile...

[ 02:51:20.0566 ] Info:  	Compile start

[ 02:51:20.0566 ] Info:  	Path to project: ''

[ 02:51:20.0571 ] Info:  	Compile 64bit


[ 02:51:24.0196 ] Critical Error:  	Error: 1

