
[ 03:37:46.0627 ] Info:  	Logs before init (time doesn't match):

[ 03:37:46.0627 ] Info:  	Continue


[ 03:37:46.0627 ] Debug:  	main


[ 03:37:46.0627 ] Info:  	Program start

[ 03:37:46.0627 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 03:37:46.0628 ] Info:  	rgset is get, checking for suitable

[ 03:37:46.0628 ] Info:  	It is suitable, compile...

[ 03:37:46.0628 ] Info:  	Compile start

[ 03:37:46.0628 ] Info:  	Path to project: ''

[ 03:37:46.0632 ] Info:  	Compile 64bit


[ 03:37:49.0546 ] Critical Error:  	Error: 1

