[ 21:45:20.0014 ] Info:  	Rinegine program start


[ 21:45:20.0014 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'

[ 21:45:20.0014 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'


[ 21:45:20.0014 ] Info:  	Rinegine init

[ 21:45:20.0014 ] Info:  	Rinegine initialized

[ 21:45:20.0014 ] Info:  	Program start

[ 21:45:20.0014 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd32.exe

[ 21:45:20.0019 ] Info:  	rgset is get, checking for suitable

[ 21:45:20.0022 ] Info:  	It is suitable, compile...

[ 21:45:20.0023 ] Info:  	Compile start

[ 21:45:20.0025 ] Info:  	Path to project: ''


[ 21:45:20.0026 ] Debug:  	File config:
name=copy
bit = 64
run=64
consol
debug
utf
source=main.cppÿ

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 21:45:20.0030 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

