
[ 04:56:27.0114 ] Info:  	Logs before init (time doesn't match):

[ 04:56:27.0114 ] Info:  	Continue


[ 04:56:27.0114 ] Debug:  	main


[ 04:56:27.0114 ] Info:  	Program start

[ 04:56:27.0114 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:56:27.0115 ] Info:  	rgset is get, checking for suitable

[ 04:56:27.0115 ] Info:  	It is suitable, compile...

[ 04:56:27.0115 ] Info:  	Compile start

[ 04:56:27.0115 ] Info:  	Path to project: ''

[ 04:56:27.0121 ] Info:  	Compile 64bit


[ 04:56:29.0028 ] Critical Error:  	Error: 1

