
[ 03:46:43.0016 ] Info:  	Logs before init (time doesn't match):

[ 03:46:43.0016 ] Info:  	Continue


[ 03:46:43.0016 ] Debug:  	main


[ 03:46:43.0016 ] Info:  	Program start

[ 03:46:43.0016 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 03:46:43.0016 ] Info:  	rgset is get, checking for suitable

[ 03:46:43.0016 ] Info:  	It is suitable, compile...

[ 03:46:43.0016 ] Info:  	Compile start

[ 03:46:43.0018 ] Info:  	Path to project: ''

[ 03:46:43.0026 ] Info:  	Compile 64bit


[ 03:46:45.0846 ] Critical Error:  	Error: 1

