[ 12:29:26.0150 ] Info:  	Rinegine program start


[ 12:29:26.0150 ] Info:  	Rinegine init

[ 12:29:26.0150 ] Info:  	Program start

[ 12:29:26.0150 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:29:26.0165 ] Info:  	rgset is get, checking for suitable

[ 12:29:26.0170 ] Info:  	It is suitable, compile...

[ 12:29:26.0174 ] Info:  	Compile start

[ 12:29:26.0176 ] Info:  	Path to project: ''


[ 12:29:26.0201 ] Info:  	Compile 64bit


[ 12:29:29.0651 ] Critical Error:  	Error: 1

