
[ 00:31:19.0908 ] Info:  	Logs before init (time doesn't match):

[ 00:31:19.0908 ] Info:  	Continue


[ 00:31:19.0908 ] Debug:  	main


[ 00:31:19.0908 ] Info:  	Program start

[ 00:31:19.0908 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 00:31:19.0909 ] Info:  	rgset is get, checking for suitable

[ 00:31:19.0909 ] Info:  	It is suitable, compile...

[ 00:31:19.0909 ] Info:  	Compile start

[ 00:31:19.0909 ] Info:  	Path to project: ''

[ 00:31:19.0914 ] Info:  	Compile 64bit


[ 00:31:24.0586 ] Critical Error:  	Error: 1

