
[ 11:26:21.0394 ] Info:  	Logs before init (time doesn't match):

[ 11:26:21.0394 ] Info:  	Continue


[ 11:26:21.0395 ] Debug:  	main


[ 11:26:21.0395 ] Info:  	Program start

[ 11:26:21.0395 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 11:26:21.0395 ] Info:  	rgset is get, checking for suitable

[ 11:26:21.0395 ] Info:  	It is suitable, compile...

[ 11:26:21.0395 ] Info:  	Compile start

[ 11:26:21.0395 ] Info:  	Path to project: ''

[ 11:26:21.0400 ] Info:  	Compile 64bit


[ 11:26:28.0576 ] Critical Error:  	Error: 1

