
[ 05:38:35.0863 ] Info:  	Logs before init (time doesn't match):

[ 05:38:35.0864 ] Info:  	Continue


[ 05:38:35.0864 ] Debug:  	main


[ 05:38:35.0864 ] Info:  	Program start

[ 05:38:35.0864 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 05:38:35.0864 ] Info:  	rgset is get, checking for suitable

[ 05:38:35.0864 ] Info:  	It is suitable, compile...

[ 05:38:35.0864 ] Info:  	Compile start

[ 05:38:35.0865 ] Info:  	Path to project: ''

[ 05:38:35.0868 ] Info:  	Compile 64bit


[ 05:38:37.0550 ] Critical Error:  	Error: 1

