[ 23:39:52.0658 ] Info:  	Rinegine program start


[ 23:39:52.0658 ] Info:  	Rinegine init

[ 23:39:52.0658 ] Info:  	Program start

[ 23:39:52.0658 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 23:39:52.0666 ] Info:  	rgset is get, checking for suitable

[ 23:39:52.0670 ] Info:  	It is suitable, compile...

[ 23:39:52.0674 ] Info:  	Compile start

[ 23:39:52.0677 ] Info:  	Path to project: ''


[ 23:39:52.0702 ] Info:  	Compile 64bit


[ 23:39:56.0013 ] Critical Error:  	Error: 1

