[ 00:05:53.0704 ] Info:  	Rinegine program start


[ 00:05:53.0704 ] Info:  	Rinegine init

[ 00:05:53.0704 ] Info:  	Program start

[ 00:05:53.0704 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 00:05:53.0709 ] Info:  	rgset is get, checking for suitable

[ 00:05:53.0712 ] Info:  	It is suitable, compile...

[ 00:05:53.0714 ] Info:  	Compile start

[ 00:05:53.0715 ] Info:  	Path to project: ''


[ 00:05:53.0731 ] Info:  	Compile 64bit


[ 00:05:57.0264 ] Critical Error:  	Error: 1

