
[ 05:06:14.0033 ] Info:  	Logs before init (time doesn't match):

[ 05:06:14.0033 ] Info:  	Continue


[ 05:06:14.0033 ] Debug:  	main


[ 05:06:14.0033 ] Info:  	Program start

[ 05:06:14.0033 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 05:06:14.0034 ] Info:  	rgset is get, checking for suitable

[ 05:06:14.0034 ] Info:  	It is suitable, compile...

[ 05:06:14.0034 ] Info:  	Compile start

[ 05:06:14.0034 ] Info:  	Path to project: ''

[ 05:06:14.0042 ] Info:  	Compile 64bit


[ 05:06:15.0951 ] Critical Error:  	Error: 1

