
[ 03:01:50.0840 ] Info:  	Logs before init (time doesn't match):

[ 03:01:50.0841 ] Info:  	Continue


[ 03:01:50.0841 ] Debug:  	main


[ 03:01:50.0841 ] Info:  	Program start

[ 03:01:50.0841 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 03:01:50.0841 ] Info:  	rgset is get, checking for suitable

[ 03:01:50.0841 ] Info:  	It is suitable, compile...

[ 03:01:50.0842 ] Info:  	Compile start

[ 03:01:50.0842 ] Info:  	Path to project: ''

[ 03:01:50.0845 ] Info:  	Compile 64bit


[ 03:01:54.0142 ] Critical Error:  	Error: 1

