
[ 04:53:56.0719 ] Info:  	Logs before init (time doesn't match):

[ 04:53:56.0719 ] Info:  	Continue


[ 04:53:56.0719 ] Debug:  	main


[ 04:53:56.0719 ] Info:  	Program start

[ 04:53:56.0719 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:53:56.0719 ] Info:  	rgset is get, checking for suitable

[ 04:53:56.0719 ] Info:  	It is suitable, compile...

[ 04:53:56.0720 ] Info:  	Compile start

[ 04:53:56.0720 ] Info:  	Path to project: ''

[ 04:53:56.0724 ] Info:  	Compile 64bit


[ 04:53:58.0442 ] Critical Error:  	Error: 1

