
[ 03:33:47.0071 ] Info:  	Logs before init (time doesn't match):

[ 03:33:47.0071 ] Info:  	Continue


[ 03:33:47.0071 ] Debug:  	main


[ 03:33:47.0071 ] Info:  	Program start

[ 03:33:47.0071 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 03:33:47.0072 ] Info:  	rgset is get, checking for suitable

[ 03:33:47.0072 ] Info:  	It is suitable, compile...

[ 03:33:47.0072 ] Info:  	Compile start

[ 03:33:47.0072 ] Info:  	Path to project: ''

[ 03:33:47.0078 ] Info:  	Compile 64bit


[ 03:33:49.0597 ] Critical Error:  	Error: 1

