
[ 01:28:26.0603 ] Info:  	Logs before init (time doesn't match):

[ 01:28:26.0603 ] Info:  	Continue


[ 01:28:26.0604 ] Debug:  	main


[ 01:28:26.0604 ] Info:  	Program start

[ 01:28:26.0604 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 01:28:26.0604 ] Info:  	rgset is get, checking for suitable

[ 01:28:26.0604 ] Info:  	It is suitable, compile...

[ 01:28:26.0604 ] Info:  	Compile start

[ 01:28:26.0604 ] Info:  	Path to project: ''

[ 01:28:26.0610 ] Info:  	Compile 64bit


[ 01:28:30.0093 ] Critical Error:  	Error: 1

