[ 13:12:46.0930 ] Info:  	Rinegine program start


[ 13:12:46.0930 ] Info:  	Rinegine init

[ 13:12:46.0930 ] Info:  	Program start

[ 13:12:46.0930 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 13:12:46.0935 ] Info:  	rgset is get, checking for suitable

[ 13:12:46.0937 ] Info:  	It is suitable, compile...

[ 13:12:46.0939 ] Info:  	Compile start

[ 13:12:46.0944 ] Info:  	Path to project: ''


[ 13:12:46.0971 ] Info:  	Compile 64bit


[ 13:12:49.0513 ] Critical Error:  	Error: 1

