
[ 18:46:25.0167 ] Info:  	Logs before init (time doesn't match):

[ 18:46:25.0167 ] Info:  	Continue


[ 18:46:25.0168 ] Debug:  	main


[ 18:46:25.0168 ] Info:  	Program start

[ 18:46:25.0168 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:46:25.0168 ] Info:  	rgset is get, checking for suitable

[ 18:46:25.0168 ] Info:  	It is suitable, compile...

[ 18:46:25.0168 ] Info:  	Compile start

[ 18:46:25.0168 ] Info:  	Path to project: ''

[ 18:46:25.0171 ] Info:  	Compile 64bit


[ 18:46:30.0869 ] Critical Error:  	Error: 1

