[ 11:19:16.0935 ] Info:  	Rinegine program start


[ 11:19:16.0935 ] Info:  	Rinegine init

[ 11:19:16.0935 ] Info:  	Program start

[ 11:19:16.0935 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 11:19:16.0953 ] Info:  	rgset is get, checking for suitable

[ 11:19:16.0959 ] Info:  	It is suitable, compile...

[ 11:19:16.0966 ] Info:  	Compile start

[ 11:19:16.0970 ] Info:  	Path to project: ''


[ 11:19:17.0028 ] Info:  	Compile 64bit


[ 11:19:18.0988 ] Critical Error:  	Error: 1

