
[ 05:36:24.0806 ] Info:  	Logs before init (time doesn't match):

[ 05:36:24.0808 ] Info:  	Continue


[ 05:36:24.0808 ] Debug:  	main


[ 05:36:24.0808 ] Info:  	Program start

[ 05:36:24.0808 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 05:36:24.0808 ] Info:  	rgset is get, checking for suitable

[ 05:36:24.0808 ] Info:  	It is suitable, compile...

[ 05:36:24.0809 ] Info:  	Compile start

[ 05:36:24.0809 ] Info:  	Path to project: ''

[ 05:36:24.0813 ] Info:  	Compile 64bit


[ 05:36:26.0933 ] Critical Error:  	Error: 1

