[ 22:41:21.0074 ] Info:  	Rinegine program start


[ 22:41:21.0074 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'

[ 22:41:21.0074 ] Debug:  	Memory allocate: '54' bytes or '0.000051 MB'


[ 22:41:21.0074 ] Info:  	Rinegine init

[ 22:41:21.0074 ] Info:  	Rinegine initialized

[ 22:41:21.0074 ] Info:  	Program start

[ 22:41:21.0074 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd32.exe

[ 22:41:21.0079 ] Info:  	rgset is get, checking for suitable

[ 22:41:21.0081 ] Info:  	It is suitable, compile...

[ 22:41:21.0084 ] Info:  	Compile start

[ 22:41:21.0085 ] Info:  	Path to project: ''


[ 22:41:21.0086 ] Debug:  	File config:
name = work
source = main.cpp
bit = 64
run = 64
consol
debug
utfÿ

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '482' bytes or '0.000460 MB'

[ 22:41:21.0090 ] Debug:  	Memory allocate: '258' bytes or '0.000246 MB'

