
[ 23:06:29.0021 ] Info:  	Logs before init (time doesn't match):

[ 23:06:29.0021 ] Info:  	Continue


[ 23:06:29.0021 ] Debug:  	main


[ 23:06:29.0021 ] Info:  	Program start

[ 23:06:29.0021 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 23:06:29.0022 ] Info:  	rgset is get, checking for suitable

[ 23:06:29.0022 ] Info:  	It is suitable, compile...

[ 23:06:29.0022 ] Info:  	Compile start

[ 23:06:29.0022 ] Info:  	Path to project: ''

[ 23:06:29.0027 ] Info:  	Compile 64bit


[ 23:06:34.0574 ] Critical Error:  	Error: 1

