
[ 04:46:26.0998 ] Info:  	Logs before init (time doesn't match):

[ 04:46:26.0998 ] Info:  	Continue


[ 04:46:26.0998 ] Debug:  	main


[ 04:46:26.0998 ] Info:  	Program start

[ 04:46:26.0998 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:46:26.0998 ] Info:  	rgset is get, checking for suitable

[ 04:46:26.0998 ] Info:  	It is suitable, compile...

[ 04:46:26.0999 ] Info:  	Compile start

[ 04:46:26.0999 ] Info:  	Path to project: ''

[ 04:46:27.0003 ] Info:  	Compile 64bit


[ 04:46:28.0698 ] Critical Error:  	Error: 1

