
[ 04:27:42.0918 ] Info:  	Logs before init (time doesn't match):

[ 04:27:42.0918 ] Info:  	Continue


[ 04:27:42.0918 ] Debug:  	main


[ 04:27:42.0918 ] Info:  	Program start

[ 04:27:42.0918 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:27:42.0918 ] Info:  	rgset is get, checking for suitable

[ 04:27:42.0918 ] Info:  	It is suitable, compile...

[ 04:27:42.0919 ] Info:  	Compile start

[ 04:27:42.0919 ] Info:  	Path to project: ''

[ 04:27:42.0928 ] Info:  	Compile 32bit


[ 04:27:53.0673 ] Critical Error:  	Error: 1

