[ 19:04:41.0354 ] Info:  	Rinegine program start


[ 19:04:41.0354 ] Info:  	Rinegine init

[ 19:04:41.0354 ] Info:  	Program start

[ 19:04:41.0354 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 19:04:41.0358 ] Info:  	rgset is get, checking for suitable

[ 19:04:41.0361 ] Info:  	It is suitable, compile...

[ 19:04:41.0362 ] Info:  	Compile start

[ 19:04:41.0364 ] Info:  	Path to project: ''


[ 19:04:41.0385 ] Info:  	Compile 64bit


[ 19:04:44.0575 ] Critical Error:  	Error: 1

