
[ 11:26:50.0301 ] Info:  	Logs before init (time doesn't match):

[ 11:26:50.0301 ] Info:  	Continue


[ 11:26:50.0301 ] Debug:  	main


[ 11:26:50.0301 ] Info:  	Program start

[ 11:26:50.0301 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 11:26:50.0301 ] Info:  	rgset is get, checking for suitable

[ 11:26:50.0301 ] Info:  	It is suitable, compile...

[ 11:26:50.0301 ] Info:  	Compile start

[ 11:26:50.0301 ] Info:  	Path to project: ''

[ 11:26:50.0313 ] Info:  	Compile 64bit


[ 11:26:54.0330 ] Critical Error:  	Error: 1

