[ 01:54:06.0579 ] Info:  	Rinegine program start


[ 01:54:06.0579 ] Info:  	Rinegine init

[ 01:54:06.0579 ] Info:  	Program start

[ 01:54:06.0579 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 01:54:06.0584 ] Info:  	rgset is get, checking for suitable

[ 01:54:06.0586 ] Info:  	It is suitable, compile...

[ 01:54:06.0589 ] Info:  	Compile start

[ 01:54:06.0590 ] Info:  	Path to project: ''


[ 01:54:06.0607 ] Info:  	Compile 64bit


[ 01:54:09.0328 ] Critical Error:  	Error: 1

