
[ 04:59:45.0572 ] Info:  	Logs before init (time doesn't match):

[ 04:59:45.0573 ] Info:  	Continue


[ 04:59:45.0573 ] Debug:  	main


[ 04:59:45.0573 ] Info:  	Program start

[ 04:59:45.0573 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 04:59:45.0573 ] Info:  	rgset is get, checking for suitable

[ 04:59:45.0574 ] Info:  	It is suitable, compile...

[ 04:59:45.0574 ] Info:  	Compile start

[ 04:59:45.0574 ] Info:  	Path to project: ''

[ 04:59:45.0580 ] Info:  	Compile 32bit


[ 04:59:45.0859 ] Critical Error:  	Error: 1

