[ 16:26:19.0547 ] Info:  	Rinegine program start


[ 16:26:19.0547 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 16:26:19.0547 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 16:26:19.0547 ] Info:  	Rinegine init

[ 16:26:19.0547 ] Info:  	Rinegine initialized

[ 16:26:19.0547 ] Info:  	Program start

[ 16:26:19.0547 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 16:26:19.0560 ] Info:  	rgset is get, checking for suitable

[ 16:26:19.0564 ] Info:  	It is suitable, compile...

[ 16:26:19.0568 ] Info:  	Compile start

[ 16:26:19.0570 ] Info:  	Path to project: ''


[ 16:26:19.0575 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 16:26:19.0582 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

